customer_id,first_name,last_name,email,city,state,country,created_date,created_by,updated_date,updated_by,active_status
1,Annette,Hicks,amanda47@example.com,Kendraborough,Maine,United States of America,2025-11-11,ADMIN,2026-05-23 17:00:52.225262,ADMIN,1
2,Adam,Gonzales,alexissimmons@example.org,South Elizabethview,Utah,Turks and Caicos Islands,2025-10-19,ADMIN,2026-05-23 17:00:52.225570,ADMIN,1
3,James,Bender,ashleyflores@example.com,New Yolandaton,Maryland,Angola,2024-12-11,ADMIN,2026-05-23 17:00:52.225841,ADMIN,1
4,Steven,Molina,mackenzieweaver@example.org,Erikaland,Colorado,Slovenia,2025-02-13,ADMIN,2026-05-23 17:00:52.226108,ADMIN,1
5,Tanner,Scott,qstewart@example.org,North Jasminefort,Florida,Botswana,2025-01-19,ADMIN,2026-05-23 17:00:52.226353,ADMIN,1
6,Adam,King,stevencollins@example.org,Jensenstad,Florida,Italy,2026-01-03,ADMIN,2026-05-23 17:00:52.226625,ADMIN,1
7,Timothy,Cabrera,james98@example.org,Harperburgh,Oklahoma,Hungary,2025-05-02,ADMIN,2026-05-23 17:00:52.226838,ADMIN,1
8,Nancy,Padilla,scottrebekah@example.org,Tiffanyborough,Missouri,Macao,2024-11-03,ADMIN,2026-05-23 17:00:52.227078,ADMIN,1
9,Michael,Ali,ahampton@example.com,West Coreyborough,Connecticut,Saint Martin,2026-05-06,ADMIN,2026-05-23 17:00:52.227384,ADMIN,1
10,Rhonda,Palmer,kiaramaxwell@example.com,North Jessicaton,Louisiana,Uzbekistan,2025-09-30,ADMIN,2026-05-23 17:00:52.227716,ADMIN,1
11,Dustin,Brown,awright@example.org,East Sarahport,New York,United Arab Emirates,2024-11-16,ADMIN,2026-05-23 17:00:52.227954,ADMIN,1
12,Elizabeth,Snow,obutler@example.org,Port Ashlee,Kansas,Finland,2024-06-15,ADMIN,2026-05-23 17:00:52.228241,ADMIN,1
13,Robert,Roberts,gblackwell@example.com,Lake James,Virginia,Sierra Leone,2026-01-17,ADMIN,2026-05-23 17:00:52.228632,ADMIN,1
